StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ConsentForm,DateofConsent,Prolific,AttentionCheck1,Rewrite1,Analysis1,Interpretation1,Confidence1,IsTrue1,Remove1,Rewrite2,Analysis2,Interpretation2,Confidence2,IsTrue2,Remove2,Rewrite3,Analysis3,Interpretation3,Confidence3,IsTrue3,Remove3,Rewrite4,Analysis4,Interpretation4,Confidence4,IsTrue4,Remove4,Rewrite5,Analysis5,Interpretation5,Confidence5,IsTrue5,Remove5,Rewrite6,Analysis6,Interpretation6,Confidence6,IsTrue6,Remove6,Rewrite7,Analysis7,Interpretation7,Confidence7,IsTrue7,Remove7,Rewrite8,Analysis8,Interpretation8,Confidence8,IsTrue8,Remove8,Rewrite9,Analysis9,Interpretation9,Confidence9,IsTrue9,Remove9,Rewrite10,Interpretation10,Confidence10,IsTrue10,Remove10,Rewrite11,Interpretation11,Confidence11,IsTrue11,Remove11,Rewrite12,Interpretation12,Confidence12,IsTrue12,Remove12,Rewrite13,Interpretation13,Confidence13,IsTrue13,Remove13,Rewrite14,Interpretation14,Confidence14,IsTrue14,Remove14,Rewrite15,Interpretation15,Confidence15,IsTrue15,Remove15,Rewrite16,Interpretation16,Confidence16,IsTrue16,Remove16,Rewrite17,Interpretation17,Confidence17,IsTrue17,Remove17,Rewrite18,Interpretation18,Confidence18,IsTrue18,Remove18,Rewrite19,Interpretation19,Confidence19,IsTrue19,Remove19,Rewrite20,Interpretation20,Confidence20,IsTrue20,Remove20,Police1,Police2,Police3,Gender,Age,Race,Country,NativeLanguage,ExposedtoEng,OtherLanguages,EngFrequency,PotentialConflicts,PotentialConflicts_1_TEXT,Seriousness,QuietEnvironment,Distracted,CommentFeedback,CommentFeedback,PROLIFIC_PID
2/16/25 17:43,2/16/25 17:50,0,96.33.160.178,100,446,1,2/16/25 17:50,R_6EI3K4CPCnYDG13,,,,,42.1245,-72.4464,anonymous,EN,1,2/16/25,6690c433c8bedd2996d7f973,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A shelter with good conditions is a necessity and people should not be denied refuge.,1,7,3,3,,,,,,,,,,,,,,,,,,,,,2,2,2,2,18,"1,6",1,English,0,N/A,100%,2,,4,1,2,NA,NA,6690c433c8bedd2996d7f973
2/16/25 17:44,2/16/25 17:55,0,174.228.160.251,100,662,1,2/16/25 17:55,R_7y2U8mWgPKOT1Bf,,,,,28.53,-81.4807,anonymous,EN,1,2/16/25,5b26da1934ffd00001b45d8d,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It is important to ensure that communities have access to clean water through a well-maintained distribution system, and they should not be prohibited from using this vital resource.",1,5,1,5,,,,,,2,2,2,1,40,1,1,English,0,I don't speak any other language,100%,2,,4,1,2,NA,NA,5b26da1934ffd00001b45d8d
2/16/25 17:51,2/16/25 17:56,0,76.228.106.188,100,301,1,2/16/25 17:56,R_6a0GV7Ym3EkQKit,,,,,35.8677,-86.4174,anonymous,EN,1,2/16/25,674b71f1c045ef7f014cc567,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scientists need to know how to use a telescope to do their job.,2,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,32,1,1,English,0,None,100%,2,,4,1,2,NA,NA,674b71f1c045ef7f014cc567
2/16/25 18:43,2/16/25 18:47,0,134.197.0.151,100,240,1,2/16/25 18:47,R_5PYKkN4jYUox9pT,,,,,39.5381,-119.8365,anonymous,EN,1,16-Feb-25,66908468a367218ba2c439be,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bee hive owners have the right to take care of and harvest from their beehives.,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,20,4,1,English,0,N/A,N/A,2,,4,1,1,NA,NA,66908468a367218ba2c439be
2/16/25 18:42,2/16/25 18:47,0,74.69.6.82,100,314,1,2/16/25 18:47,R_1Lhhs0130zePlbs,,,,,42.8656,-73.7709,anonymous,EN,1,2/16/25,63d3fa2d13e1ebedf2f56806,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The community needs to have access to the local weather station, as it alerts them to dangerous storms. ",2,6,1,5,,,,,,,,,,,,,,,,2,2,1,2,31,1,1,English,0,None,100%,2,,4,1,2,NA,NA,63d3fa2d13e1ebedf2f56806
2/16/25 18:43,2/16/25 18:49,0,68.57.51.161,100,324,1,2/16/25 18:49,R_1N9YgUUuXBOI3oo,,,,,37.0634,-88.6632,anonymous,EN,1,2/16/25,67ad37d36b528753a6c432bc,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Students, w/o access to education within our library must not be restricted. ",2,3,3,3,,,,,,,,,,,2,2,1,2,30,1,1,English,0,N/A,100%,2,,4,1,2,NA,NA,67ad37d36b528753a6c432bc
2/16/25 18:44,2/16/25 18:49,0,67.169.145.104,100,331,1,2/16/25 18:49,R_3btvNgOMCuzFeMh,,,,,37.0313,-122.1198,anonymous,EN,1,2/16/25,668595376c76d39676d95d54,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A busy road used for travel and trade should not be obstructed.,Not Always,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,25,7,1,Spanish,2,None,90%,2,,4,1,2,NA,NA,668595376c76d39676d95d54
2/16/25 18:46,2/16/25 18:49,0,50.40.120.92,100,217,1,2/16/25 18:50,R_5ifY8iaaW0X0IvM,,,,,39.0394,-89.9673,anonymous,EN,1,2/16/25,65ca25d9495bbd05f7fbfb6c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People should have access to and the ability to use a sundial.  ,Always,1,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,32,1,1,English,0,None,100%,2,,4,1,2,NA,NA,65ca25d9495bbd05f7fbfb6c
2/16/25 18:43,2/16/25 18:50,0,76.34.17.106,100,440,1,2/16/25 18:50,R_1sjOuQ29ZKItoAL,,,,,37.9668,-87.4912,anonymous,EN,1,2/16/25,67876285103f57f54f701beb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It's absolutely vital for meteorologists to be able to monitor weather conditions, so the careful placement of weathervanes is crucial.",2,3,1,5,2,2,1,1,29,1,1,English ,0,I only speak English ,100%,2,,4,1,2,NA,NA,67876285103f57f54f701beb
2/16/25 18:44,2/16/25 18:50,0,137.83.94.97,100,398,1,2/16/25 18:50,R_3I74H65vvEmJJZP,,,,,39.9422,-104.7854,anonymous,EN,1,2/16/25,65f32fe30e71cd7be2d01508,3,,,,,,,,,,,,,,,,,,,The cultural tradition of passing down knowledge fosters unity in the community and will not be erased. ,Ambiguous,2,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,28,1,1,English ,0,0,100%,2,,4,1,2,Na,Na,65f32fe30e71cd7be2d01508
2/16/25 18:43,2/16/25 18:50,0,71.81.0.87,100,431,1,2/16/25 18:50,R_1GVybVAWcIqojSB,,,,,34.895,-81.9204,anonymous,EN,1,2/16/25,67b0faede3fe3db420a3dd26,3,,,,,,,The orchard must be maintained in order for farmers to harvest and distribute fruit for the communities food supply.,Not always/Not mentioned? (kind of got it backward),2,6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,54,1,1,English,0,N/A,N/A,2,,4,1,2,NA,NA,67b0faede3fe3db420a3dd26
2/16/25 18:43,2/16/25 18:51,0,172.56.16.88,100,489,1,2/16/25 18:51,R_7cbwDg2Frw22t7s,,,,,41.923,-87.7531,anonymous,EN,1,2/16/25,6599af7c0c80c3b946e04a97,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curators should be able to acquire and exhibit works of art so that they can be viewed by many.,Always,2,6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,50,1,1,Envy,I was expoyto English as as I was born.,Some Spanish ,95^,2,,4,1,2,NA,NA,6599af7c0c80c3b946e04a97
2/16/25 18:48,2/16/25 18:51,0,70.231.13.34,100,201,1,2/16/25 18:51,R_1pSH2gwLNrEN4xH,,,,,33.8019,-84.3861,anonymous,EN,1,2/16/25,629534afc0924e49e1464589,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A fully functional lighthouse is an absolute must for safe maritime operations, guiding sailors and avoiding accidents.",2,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,38,4,1,Urdu,2,"Urdu, 0
Arabic, 5",90%,2,,4,1,2,NA,NA,629534afc0924e49e1464589
2/16/25 18:45,2/16/25 18:52,0,50.27.4.153,100,421,1,2/16/25 18:52,R_6VT8dCUjONgqDRf,,,,,33.5911,-101.936,anonymous,EN,1,2/16/25,668525b0e1eff8d40c686ec0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A good stock of food reserve is important for food security, so people must have access to essential supplies.",2,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,35,4,7,Chinese,8,NA,100%,2,,4,1,2,NA,NA,668525b0e1eff8d40c686ec0
2/16/25 18:45,2/16/25 18:52,0,68.112.31.150,100,383,1,2/16/25 18:52,R_6HbD9yzNQpCpm3c,,,,,34.5251,-82.6307,anonymous,EN,1,2/16/25,66f0eda58aabb19b40a60936,3,,,,,,,,,,,,,,,,,,,,,,,,,"The damn, that keeps water from flooding the area, must be properly maintained by engineers.",Not Always,2,7,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,53,2,1,English,0,None,100%,2,,4,1,2,N/A,N/A,66f0eda58aabb19b40a60936
2/16/25 18:48,2/16/25 18:52,0,68.134.37.104,100,237,1,2/16/25 18:52,R_1l8jTPdQBAdt3fX,,,,,39.2126,-76.7136,anonymous,EN,1,2/16/25,663e59a5d1091f0c6becbfdf,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An organized marketplace not being curtailed is essential to economic exchange,Always,2,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,18,2,1,English,0,N/A,100%,2,,4,1,2,NA,NA,663e59a5d1091f0c6becbfdf
2/16/25 18:48,2/16/25 18:52,0,141.233.88.49,100,236,1,2/16/25 18:52,R_5qfeLJLEenlx9Js,,,,,43.0757,-89.203,anonymous,EN,1,2/16/25,67884d2db0aaf0a3b41ef4e0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A well calibrated telescope is necessary in order to advance astronomical research and to allow scientists to observe and document celestial bodies. ,2,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,19,"1,5",1,English,0,0,100%,2,,4,2,2,NA,NA,67884d2db0aaf0a3b41ef4e0
2/16/25 18:47,2/16/25 18:52,0,98.204.97.27,100,355,1,2/16/25 18:52,R_3E0tFkJXlJHNVcQ,,,,,38.9379,-77.0859,anonymous,EN,1,2/16/25,60fd4c6f52ed603b43aa2e57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You must not refuse the right of individuals to seek safety in a structurally sound shelter which is necessary for refuge in extreme conditions.,2,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,33,1,1,English ,0,None,100,2,,4,1,2,NA,NA,60fd4c6f52ed603b43aa2e57
2/16/25 18:48,2/16/25 18:53,0,206.251.223.70,100,289,1,2/16/25 18:53,R_5ro7uGUlDEBv573,,,,,35.7101,-86.3994,anonymous,EN,1,2/16/25,66aa2f349fa0ed47b7f61a46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The preserved masterpiece must not be undermined. ,Ambiguous,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,38,1,1,Emglish,0,Na,100%,2,,4,1,2,Na,Na,66aa2f349fa0ed47b7f61a46
2/16/25 18:48,2/16/25 18:53,0,97.140.153.2,100,297,1,2/16/25 18:53,R_71cQ7RsAO33n4d6,,,,,35.1936,-80.6865,anonymous,EN,1,2/16/25,60fef47b6e61932179680009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A thoughtfully designed garden is necessary for the preservation of rare plants, and the ability of botanists to study and cultivate species should not be impeded. ",2,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,29,1,1,English ,0,N/a,N/a,2,,4,1,2,NA,NA,60fef47b6e61932179680009
2/16/25 18:46,2/16/25 18:53,0,174.170.208.237,100,423,1,2/16/25 18:53,R_1eQkxfDZsBkVDHj,,,,,29.0382,-95.4416,anonymous,EN,1,2.16.2025,65c4000ffa2e6230b49ab230,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In order to keep the market place well organized, vendors should be able to exchange goods without restricitons.",Not Always,2,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,29,2,1,english,0,none,100,2,,4,1,2,na,na,65c4000ffa2e6230b49ab230
2/16/25 18:45,2/16/25 18:53,0,24.246.255.72,100,497,1,2/16/25 18:53,R_1dovE2Nf6oQ6fAH,,,,,40.9645,-76.8844,anonymous,EN,1,2/16/25,63d40d717721e5fa5e4cc357,3,,,,,,,,,,,,,Individuals must be allowed to build fires for warmth and food to avoid dying in areas with harsh climates.,Always,2,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,40,1,1,English,0,0,100,2,,4,1,2,NA,NA,63d40d717721e5fa5e4cc357
2/16/25 18:50,2/16/25 18:54,0,207.183.142.81,100,242,1,2/16/25 18:54,R_5CzNJIyYr10PD7X,,,,,36.1835,-94.1762,anonymous,EN,1,2/16/25,670d3d2b6a7e4374077e0fbe,3,,,,,,,,,,,,,,,,,,,,,,,,,"Engineering experts need to repair and reinforce a dam, they must not be impeded ",Always,2,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,31,"1,3",1,English ,0,None,100%,2,,4,1,2,NA,NA,670d3d2b6a7e4374077e0fbe
2/16/25 18:45,2/16/25 18:54,0,68.184.205.61,100,578,1,2/16/25 18:54,R_5DBXSerL2Y9Q43v,,,,,38.6142,-90.2921,anonymous,EN,1,2/16/25,674a60470c3db9101044cfcb,3,The right of individuals to access and maintain records for a well-preserved historical archive must not be restricted. ,Always,1,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,48,1,1,english,0,0,100,2,,4,1,2,"a little confusing, see below",I didn't feel like I was given a choice that really fit what the sentence meant,674a60470c3db9101044cfcb
2/16/25 18:50,2/16/25 18:54,0,66.186.251.127,100,286,1,2/16/25 18:54,R_5brexkY3rZfARON,,,,,30.303,-90.972,anonymous,EN,1,2/16/25,57439a4354636a000d78639a,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In order to predict dangerous storms, the weather needs to be monitored at all times and the community needs access to the information.",2,5,3,2,,,,,,,,,,,,,,,,2,2,1,2,36,1,1,English,0,none,100%,2,,4,1,2,No I understood it,NA,57439a4354636a000d78639a
2/16/25 18:51,2/16/25 18:55,0,67.170.141.91,100,250,1,2/16/25 18:55,R_3EvqRfR37MaMsbV,,,,,45.4508,-122.7941,anonymous,EN,1,2/16/25,655f915c87dc5be942a6053c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the right of individuals to seek and maintain refuge should not be denied due to shelter being  necessary for survival,1,3,3,6,,,,,,,,,,,,,,,,,,,,,2,2,1,3,20,2,1,english,0,0,100,2,,4,1,2,NA,NA,655f915c87dc5be942a6053c
2/16/25 18:48,2/16/25 18:55,0,174.178.44.37,100,395,1,2/16/25 18:55,R_33r09Wypm7b8XLU,,,,,41.4745,-75.5649,anonymous,EN,1,2/16/25,67ae751c82b60f49959585ef,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A regularly maintained Aqufuct, which is necessary for delivery of clean water to local communities, should not be denied. ",1,1,3,3,,,,,,2,2,2,1,59,1,1,English,0,None,100%,2,,4,1,2,NA,Na,67ae751c82b60f49959585ef
2/16/25 18:46,2/16/25 18:55,0,172.56.32.42,100,571,1,2/16/25 18:55,R_5cSxb6HtjCqSXws,,,,,38.9034,-76.9882,anonymous,EN,1,2/16/25,678e9e71e86387f62a304577,3,,,,,,,,,,,,,,,,,,,"A culture good enough to be preserved is important for uniting people as one , so that the elders will always have the right to share their knowledge down to generations ",Always,1,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,35,1,1,English,0,"1. 21years
2. once a month",98%,2,,4,1,2,NA,NA,678e9e71e86387f62a304577
2/16/25 18:47,2/16/25 18:56,0,71.192.123.1,100,528,1,2/16/25 18:56,R_74C19nWRaR8KPmj,,,,,42.3268,-71.1341,anonymous,EN,1,16-Feb,66734ebf5b2965777d3305fe,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-quality honey requires a regularly cleaned beehive.,2,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,56,4,1,English,0,0,100,2,,4,1,2,NA,NA,66734ebf5b2965777d3305fe
